"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"39","ENSMUSG00000036960","darkgreen","Clca2","muscle",2.1806152294413575e-5,0.01712961192248159,"Clca2",FALSE,"",1,4.66142095912204,124
"176","ENSMUSG00000047910","darkgreen","Pcdhb16","muscle",2.247108274115499e-5,0.8314826102505886,"Pcdhb16",FALSE,"",1,4.64837600113761,99
"122","ENSMUSG00000040158","darkgreen","Tax1bp3","muscle",2.5055125414076615e-5,0.06245897268538357,"Tax1bp3",FALSE,"",1,4.601103419043831,133
"4","ENSMUSG00000066877","darkgreen","Nck2","muscle",2.6312812327308733e-5,2.4038306534622723e-4,"Nck2",FALSE,"",1,4.579832731809455,164
"26","ENSMUSG00000035877","darkgreen","Zhx3","muscle",3.004763768340808e-5,0.022486362748319597,"Zhx3",FALSE,"",1,4.522189666136735,7
"64","ENSMUSG00000041390","darkgreen","Mdfic","muscle",3.193624949447412e-5,0.629066307693173,"Mdfic",FALSE,"",1,4.495716087555482,144
"147","ENSMUSG00000033730","darkgreen","Egr3","muscle",3.259894069715347e-5,0.34685138751269756,"Egr3",FALSE,"",1,4.486796512105542,136
"186","ENSMUSG00000052387","darkgreen","Trpm3","muscle",4.602442353021853e-5,0.10908003194589545,"Trpm3",FALSE,"",1,4.337011642459211,15
"57","ENSMUSG00000042121","darkgreen","Ssh1","muscle",6.871488130417899e-5,0.01653813712621852,"Ssh1",FALSE,"",1,4.162949199353561,91
"29","ENSMUSG00000027524","darkgreen","Edn3","muscle",7.11687601776695e-5,0.002226895997294332,"Edn3",FALSE,"",1,4.147710599898616,57
"118","ENSMUSG00000020474","darkgreen","Polm","muscle",9.162738590593162e-5,0.23786287656047134,"Polm",FALSE,"",1,4.03797470351273,143
"8","ENSMUSG00000026240","darkgreen","Cops7b","muscle",9.586577164866721e-5,0.05022334499077791,"Cops7b",FALSE,"",1,4.01833642763183,93
"90","ENSMUSG00000031483","darkgreen","Erlin2","muscle",9.912126275974958e-5,0.22598489726983,"Erlin2",FALSE,"",1,4.00383317388282,131
"91","ENSMUSG00000031627","darkgreen","Irf2","muscle",1.0725094193055372e-4,0.0021597330989076057,"Irf2",FALSE,"",1,3.9695988849386183,171
"92","ENSMUSG00000003037","darkgreen","Rab8a","muscle",1.0950021310452939e-4,0.020682134583352194,"Rab8a",FALSE,"",1,3.960585035618099,3
"53","ENSMUSG00000039706","darkgreen","Ldb2","muscle",1.1600820553125502e-4,0.37270406881468665,"Ldb2",FALSE,"",1,3.9355112910238512,110
"47","ENSMUSG00000086606","darkgreen","Gm13205","muscle",1.2564320976560665e-4,0.20719185236566887,"Gm13205",FALSE,"",1,3.9008609773540392,107
"21","ENSMUSG00000079442","darkgreen","St6galnac4","muscle",1.465738744260322e-4,0.019528809238706035,"St6galnac4",FALSE,"",1,3.833943432176016,77
